id,nome,cpf,dt_nascimento,nome_responsavel,matricula,dt_matricula,email,tb_curso_id
1,Gustavo Farias,28815878070,2005-09-04,Emanuella Caldeira Ferreira,811559,2022-11-21,gustavo_farias@mail.com,2
2,Emanuelly Oliveira,26245109103,1988-04-15,Joaquim Novaes Viana,410558,2018-11-20,emanuelly_oliveira@mail.com,4
3,Heloísa da Mata,5518602495,1987-05-10,Pietro Gonçalves Gonçalves,2413,2021-04-04,heloísa_da@mail.com,6
4,Lavínia Duarte,28631131693,2003-01-08,Yuri Almeida Nunes,640102,2020-11-19,lavínia_duarte@mail.com,6
5,Cecília da Conceição,68497752670,2001-09-06,Clarice Souza Melo,657467,2023-05-02,cecília_da@mail.com,2
6,Maria Fernanda Viana,43496997791,2003-04-19,Clarice Duarte da Conceição,634962,2020-02-05,maria_fernanda@mail.com,2
7,Ana Luiza Monteiro,55085701430,2004-10-13,Danilo Cardoso Dias,748701,2023-08-27,ana_luiza@mail.com,4
8,Joana Jesus,13449336488,1984-05-26,João Miguel Azevedo Freitas,261997,2022-06-21,joana_jesus@mail.com,4
9,Luiza Pereira,16998100159,1990-02-23,Noah Costela Castro,639875,2022-07-03,luiza_pereira@mail.com,4
10,Maria Sophia Fernandes,3404676254,1983-10-21,Bárbara Martins da Rocha,838443,2019-05-29,maria_sophia@mail.com,4
11,João Vitor Nogueira,70197463237,2000-09-07,Noah Teixeira Monteiro,655643,2023-12-15,joão_vitor@mail.com,2
12,Isabella Moraes,46513790418,1999-08-05,Amanda Fernandes Monteiro,904231,2022-09-26,isabella_moraes@mail.com,2
13,Mariana Gonçalves,40717118964,2000-09-28,Rafaela Alves Gomes,414000,2022-08-10,mariana_gonçalves@mail.com,1
14,Heloísa Barros,19832497517,1990-05-16,Pedro Henrique Peixoto da Cunha,55785,2020-04-03,heloísa_barros@mail.com,4
15,Murilo Dias,30867329690,1985-07-05,Luiz Henrique Araújo Lima,57806,2023-03-14,murilo_dias@mail.com,6
16,Lavínia Fernandes,96524634693,2001-11-29,Maria Luiza Gonçalves Castro,739667,2021-09-10,lavínia_fernandes@mail.com,5
17,Letícia Castro,71856764442,2000-11-19,Alexia da Rosa Carvalho,509153,2023-08-14,letícia_castro@mail.com,6
18,Bernardo Moreira,88600484808,1986-11-06,Ana Carolina Nogueira Gomes,574319,2022-01-31,bernardo_moreira@mail.com,1
19,Pietro Peixoto,6018465361,1994-12-28,Diogo Rodrigues Caldeira,600540,2020-05-24,pietro_peixoto@mail.com,4
20,Francisco Viana,81680233514,1991-08-05,Calebe Caldeira das Neves,780361,2019-12-29,francisco_viana@mail.com,4
21,Thomas Souza,9447396866,1984-06-14,Leonardo Pires Aragão,270558,2021-07-17,thomas_souza@mail.com,3
22,Isaac Fernandes,57468177024,1989-04-24,Luiz Gustavo Pires Fogaça,604688,2019-08-19,isaac_fernandes@mail.com,6
23,Camila Gonçalves,40909439726,2003-07-03,Fernando Correia Costela,804796,2022-08-12,camila_gonçalves@mail.com,4
24,Davi Lucas da Conceição,43902190351,1991-04-10,Rafaela Barbosa Pereira,797332,2020-01-31,davi_lucas@mail.com,1
25,Ana Vitória Moura,51294789048,1990-10-22,Maria Eduarda Novaes Aragão,225017,2020-12-10,ana_vitória@mail.com,4
26,Isis Nascimento,44010395181,1990-09-03,Vinicius Santos Araújo,355116,2020-12-05,isis_nascimento@mail.com,1
27,Brenda Araújo,4297269104,1996-12-14,Maria Vitória Teixeira Martins,805882,2020-01-11,brenda_araújo@mail.com,2
28,Lavínia Martins,27151235368,1999-08-05,Ana Beatriz Almeida Costela,6882,2019-11-07,lavínia_martins@mail.com,5
29,Luana Rezende,23325570212,1999-01-16,Mirella Castro Sales,420762,2019-07-02,luana_rezende@mail.com,3
30,Mariana Jesus,49354699051,1985-11-01,Calebe Santos Santos,102765,2020-09-16,mariana_jesus@mail.com,1
31,Enzo Cunha,13363913652,1995-07-14,Clara Alves Pires,927991,2021-09-18,enzo_cunha@mail.com,2
32,Enzo Castro,43509341941,1988-07-28,Gustavo Henrique Freitas da Costa,510779,2019-03-18,enzo_castro@mail.com,4
33,Lucas Teixeira,50723715136,2002-12-22,Cauã Rocha Melo,475148,2023-05-14,lucas_teixeira@mail.com,1
34,Gabriel Nogueira,71248830533,2000-07-21,Lucas Aragão Pires,189657,2020-08-22,gabriel_nogueira@mail.com,3
35,Ana Vitória Moura,49841866289,2003-06-13,Beatriz da Conceição da Costa,985463,2022-07-11,ana_vitória@mail.com,5
36,Maria Clara Viana,86922631401,1988-06-03,Vitor Hugo Pereira Novaes,214840,2023-07-24,maria_clara@mail.com,3
37,Maria Sophia Moura,77485672202,1995-10-19,Ana Luiza das Neves Freitas,939791,2021-05-05,maria_sophia@mail.com,2
38,Ana Luiza Duarte,29280549348,1991-09-26,Lavínia Lopes Silveira,535703,2023-06-11,ana_luiza@mail.com,5
39,Caio Melo,37416050530,2002-03-04,Maria Pinto Caldeira,140335,2022-10-03,caio_melo@mail.com,5
40,Valentina da Rocha,97194528533,1994-03-28,Davi Martins Azevedo,33229,2021-05-22,valentina_da@mail.com,3
41,Lucas Gabriel Melo,72810193557,1987-03-19,Bryan Souza Moura,478124,2018-11-30,lucas_gabriel@mail.com,2
42,Valentina Almeida,82321359537,1988-09-05,Valentina Martins Fogaça,368508,2022-01-27,valentina_almeida@mail.com,6
43,Francisco Viana,21335193957,1999-01-17,Isabelly Campos Gonçalves,75889,2020-05-18,francisco_viana@mail.com,3
44,Enzo Gabriel Araújo,81414553605,2003-10-11,Maria Sophia Nogueira Monteiro,118630,2021-05-19,enzo_gabriel@mail.com,1
45,Francisco Alves,98666024521,2005-04-12,Daniel Pinto Sales,251358,2020-09-18,francisco_alves@mail.com,6
46,Luiz Miguel Barros,21796896879,1987-04-23,Valentina da Cunha Correia,314515,2020-05-02,luiz_miguel@mail.com,1
47,Fernando Peixoto,53726941490,1991-05-29,Gustavo Henrique Pires Campos,586670,2023-07-19,fernando_peixoto@mail.com,6
48,Emanuella Correia,53215705238,1988-08-26,Milena Lopes da Conceição,812572,2019-11-14,emanuella_correia@mail.com,4
49,Pietra Campos,36967721470,1996-06-27,Alexia Carvalho Rocha,451358,2020-01-18,pietra_campos@mail.com,6
50,Bruna Porto,22363570871,1991-04-09,Felipe Silva Peixoto,355982,2020-07-12,bruna_porto@mail.com,3
51,Leonardo Barbosa,62331982801,1992-03-25,Brenda Caldeira Pinto,472668,2020-02-14,leonardo_barbosa@mail.com,6
52,Natália Silveira,96653161315,1988-07-13,Clarice Duarte Ribeiro,619813,2018-12-15,natália_silveira@mail.com,1
53,Maria Luiza Cavalcanti,74167705679,1995-12-08,Guilherme Araújo Campos,439152,2018-12-25,maria_luiza@mail.com,2
54,Caroline Pires,21986381691,2001-06-20,Sophia Pinto Fernandes,740774,2019-10-09,caroline_pires@mail.com,4
55,Pedro da Conceição,32356418711,2002-11-05,Evelyn Lopes Ferreira,583956,2021-01-25,pedro_da@mail.com,3
56,Maysa Martins,34930846163,2001-02-05,Beatriz Cardoso Farias,117891,2023-01-23,maysa_martins@mail.com,1
57,Clarice Pinto,73916268547,1992-08-14,Leonardo Cunha Martins,12572,2023-09-22,clarice_pinto@mail.com,6
58,Eduardo Correia,499010108,2005-09-19,Gabrielly Carvalho Oliveira,255443,2022-11-12,eduardo_correia@mail.com,6
59,Ana Julia Porto,51420287466,1984-05-12,Kaique Fernandes Vieira,195438,2023-05-15,ana_julia@mail.com,4
60,Pedro Lucas Pereira,56408432300,1994-02-09,Diego Dias Aragão,63550,2019-09-18,pedro_lucas@mail.com,4
61,Pedro Lucas Fernandes,85462701319,1986-06-17,Breno Jesus Duarte,144040,2022-09-28,pedro_lucas@mail.com,3
62,Vinicius da Costa,44216238815,1998-02-22,Vitor da Conceição Moura,171146,2020-05-30,vinicius_da@mail.com,5
63,Daniel Carvalho,31591559584,1989-08-26,Luna Novaes Correia,271659,2021-11-10,daniel_carvalho@mail.com,2
64,Pietra Moura,15389989749,2000-04-25,Maria Clara Melo Farias,3149,2021-08-18,pietra_moura@mail.com,4
65,Joana Melo,89960908813,1993-02-19,Rafaela Duarte Almeida,103877,2022-01-13,joana_melo@mail.com,4
66,Alícia Moraes,75610071825,1989-10-21,Rodrigo Cardoso Teixeira,510438,2021-03-18,alícia_moraes@mail.com,4
67,Milena Barros,35752437474,1988-06-09,Cecília Nascimento da Cunha,233156,2020-01-28,milena_barros@mail.com,2
68,Murilo Lima,78185235183,1987-01-29,Miguel Almeida Freitas,711923,2022-02-18,murilo_lima@mail.com,3
69,Thales Cavalcanti,18878371615,1988-02-25,Ana Clara Nascimento Carvalho,167936,2020-03-23,thales_cavalcanti@mail.com,5
70,Enzo Freitas,26526192843,1987-08-02,Benício Campos Azevedo,586331,2023-04-04,enzo_freitas@mail.com,1
71,Ana Clara Araújo,86674186535,1986-10-11,Ana Júlia Campos Monteiro,86911,2022-02-24,ana_clara@mail.com,4
72,Marcelo Lima,25276969372,1994-11-13,Pietra Santos Campos,334683,2019-10-11,marcelo_lima@mail.com,2
73,Renan Monteiro,55050739903,1994-01-06,Vitória Nascimento Carvalho,642542,2022-04-24,renan_monteiro@mail.com,1
74,André da Mata,84556596640,1993-01-04,Emanuelly da Paz da Costa,721391,2019-05-20,andré_da@mail.com,1
75,Olivia Araújo,31896123785,1994-04-28,Isabella Viana Pinto,917179,2022-09-12,olivia_araújo@mail.com,2
76,Milena Martins,1649226867,2001-04-09,Pietro da Mota Pereira,658844,2020-10-18,milena_martins@mail.com,6
77,Marcelo Pires,18329445013,1995-09-13,Vitor Correia Jesus,958903,2023-10-30,marcelo_pires@mail.com,4
78,Maria Alice Pereira,89930595307,1984-04-18,Theo Aragão Cardoso,337794,2020-06-18,maria_alice@mail.com,2
79,Carolina Pires,2575422095,1988-09-23,Gabrielly Cardoso Rocha,794742,2019-03-09,carolina_pires@mail.com,5
80,Enzo Monteiro,98151685933,1993-12-07,Helena Moreira Caldeira,730121,2020-06-09,enzo_monteiro@mail.com,6
81,Emanuella Lima,80572176659,1997-08-22,Lorenzo Rezende Jesus,323254,2023-09-08,emanuella_lima@mail.com,3
82,André da Rocha,44269881446,1986-04-06,Raquel da Paz Nogueira,219191,2020-05-17,andré_da@mail.com,6
83,Otávio da Rosa,19236765046,1984-05-24,Lívia Cardoso da Luz,984722,2019-09-18,otávio_da@mail.com,4
84,Nathan Martins,87048063424,1986-03-04,Renan Campos Gomes,67647,2023-11-14,nathan_martins@mail.com,3
85,João Felipe Costela,40993925669,1997-01-01,Isaac Nogueira Castro,149585,2020-12-20,joão_felipe@mail.com,4
86,Mariane Dias,18963503285,2001-12-10,Emanuella Cardoso Costela,272534,2023-08-06,mariane_dias@mail.com,6
87,Olivia Barbosa,18835076823,1986-12-16,Pedro Henrique Campos Martins,665054,2020-04-14,olivia_barbosa@mail.com,1
88,Pedro Lucas Pereira,54479158208,1983-11-22,Maysa da Cruz Campos,427935,2021-01-06,pedro_lucas@mail.com,3
89,Nathan Correia,17140218272,2000-08-09,Henrique Cardoso Duarte,512246,2020-08-02,nathan_correia@mail.com,5
90,Alexia Aragão,13849218504,1987-04-03,Vitória da Rosa Viana,262375,2021-08-11,alexia_aragão@mail.com,4
91,Lavínia Ramos,81932041434,1992-03-03,Ana Vitória da Rocha Aragão,9899,2021-08-14,lavínia_ramos@mail.com,3
92,Davi Pinto,81790551868,2000-03-04,Bryan Nogueira Azevedo,733821,2022-06-16,davi_pinto@mail.com,3
93,Stella da Cunha,41606038492,2000-04-05,Yasmin Duarte da Cruz,4470,2022-04-22,stella_da@mail.com,5
94,Samuel da Conceição,12020254282,2003-07-12,Clarice Pires Moraes,903706,2021-10-17,samuel_da@mail.com,4
95,João Vitor da Luz,89239902914,2000-06-08,Beatriz Dias Rezende,647950,2023-10-27,joão_vitor@mail.com,6
96,Kamilly da Costa,43579268305,1991-08-25,Pietra Rezende Moura,302624,2023-03-03,kamilly_da@mail.com,5
97,Maria Julia Martins,77795447140,1984-04-10,Ana Júlia Gonçalves Cavalcanti,6748,2023-11-03,maria_julia@mail.com,2
98,Ana Luiza Jesus,54836147055,2004-11-11,Augusto Vieira Lima,315331,2023-10-07,ana_luiza@mail.com,1
